Cliente,Faturamento Mensal (R$),Custo Operacional (R$),Impostos Pagos (R$),Lucro Operacional (R$),Margem Operacional (%),Percentual de Impostos (%),Rentabilidade Líquida (R$),Rentabilidade Liquida (%)
Bar do Bituca,34769.0,10747.0,3267.0,24022.0,69.09,9.4,20755.0,59.69
Café Curva,43693.0,33551.0,3528.0,10142.0,23.21,8.07,6614.0,15.14
Tasca da Tia,21396.0,34382.0,13394.0,-12986.0,-60.69,62.6,-26380.0,-123.29
Rango Rápido,77187.0,8189.0,5556.0,68998.0,89.39,7.2,63442.0,82.19
Flor de Sal,42480.0,39677.0,5890.0,2803.0,6.6,13.87,-3087.0,-7.27
República Espresso,56434.0,27118.0,10838.0,29316.0,51.95,19.2,18478.0,32.74
Quintal Zé,40658.0,11005.0,13080.0,29653.0,72.93,32.17,16573.0,40.76
Santa Farra,33942.0,29042.0,7393.0,4900.0,14.44,21.78,-2493.0,-7.34
Cantinho do Chef,72001.0,9899.0,12627.0,62102.0,86.25,17.54,49475.0,68.71
Vibe Bar,33431.0,32118.0,10792.0,1313.0,3.93,32.28,-9479.0,-28.35
