Cliente,Faturamento Mensal (R$),Custo Operacional (R$),Impostos Pagos (R$)
Bar do Bituca,"R$ 34.769,00","R$ 10.747,00","R$ 3.267,00"
Café Curva,"R$ 43.693,00","R$ 33.551,00","R$ 3.528,00"
Tasca da Tia,"R$ 21.396,00","R$ 34.382,00","R$ 13.394,00"
Rango Rápido,"R$ 77.187,00","R$ 8.189,00","R$ 5.556,00"
Flor de Sal,"R$ 42.480,00","R$ 39.677,00","R$ 5.890,00"
República Espresso,"R$ 56.434,00","R$ 27.118,00","R$ 10.838,00"
Quintal Zé,"R$ 40.658,00","R$ 11.005,00","R$ 13.080,00"
Santa Farra,"R$ 33.942,00","R$ 29.042,00","R$ 7.393,00"
Cantinho do Chef,"R$ 72.001,00","R$ 9.899,00","R$ 12.627,00"
Vibe Bar,"R$ 33.431,00","R$ 32.118,00","R$ 10.792,00"
